Type of livestock,Region,Year,value
Total,            Orkhon,1976,2.5
Total,            Orkhon,1975,
Total,            Orkhon,1974,
Total,            Orkhon,1973,
Total,            Orkhon,1972,
Total,            Orkhon,1971,
Total,            Orkhon,1970,
Total,            Khuvsgul,2024,5163.2
Total,            Khuvsgul,2023,5662.0
Total,            Khuvsgul,2022,6254.1
Total,            Khuvsgul,2021,5943.2
Total,            Khuvsgul,2020,5500.6
Total,            Khuvsgul,2019,6040.4
Total,            Khuvsgul,2018,5710.4
Total,            Khuvsgul,2017,5297.8
Total,            Khuvsgul,2016,5089.4
Total,            Khuvsgul,2015,4398.1
Total,            Khuvsgul,2014,4157.2
Total,            Khuvsgul,2013,3609.2
Total,            Khuvsgul,2012,3601.7
Total,            Khuvsgul,2011,3315.5
Total,            Khuvsgul,2010,3101.3
Total,            Khuvsgul,2009,3924.5
Total,            Khuvsgul,2008,3815.7
Total,            Khuvsgul,2007,3425.3
Total,            Khuvsgul,2006,2973.5
Total,            Khuvsgul,2005,2504.3
Total,            Khuvsgul,2004,2295.2
Total,            Khuvsgul,2003,2060.4
Total,            Khuvsgul,2002,1900.8
Total,            Khuvsgul,2001,1770.0
Total,            Khuvsgul,2000,2269.6
Total,            Khuvsgul,1999,2418.2
Total,            Khuvsgul,1998,2295.9
Total,            Khuvsgul,1997,2152.3
Total,            Khuvsgul,1996,1976.9
Total,            Khuvsgul,1995,1857.4
Total,            Khuvsgul,1994,1788.0
Total,            Khuvsgul,1993,1679.6
Total,            Khuvsgul,1992,1747.5
Total,            Khuvsgul,1991,1788.2
Total,            Khuvsgul,1990,1871.9
Total,            Khuvsgul,1989,1802.9
Total,            Khuvsgul,1988,1740.1
Total,            Khuvsgul,1987,1718.3
Total,            Khuvsgul,1986,1725.8
Total,            Khuvsgul,1985,1758.5
Total,            Khuvsgul,1984,1777.9
Total,            Khuvsgul,1983,1761.6
Total,            Khuvsgul,1982,1734.3
Total,            Khuvsgul,1981,1675.0
Total,            Khuvsgul,1980,1600.5
Total,            Khuvsgul,1979,1596.0
Total,            Khuvsgul,1978,1567.2
Total,            Khuvsgul,1977,1468.3
Total,            Khuvsgul,1976,1494.3
Total,            Khuvsgul,1975,1622.6
Total,            Khuvsgul,1974,1676.1
Total,            Khuvsgul,1973,1580.8
Total,            Khuvsgul,1972,1587.8
Total,            Khuvsgul,1971,1607.8
Total,            Khuvsgul,1970,1599.6
Total,    Central region,2024,6004.8
Total,    Central region,2023,6963.7
Total,    Central region,2022,7333.3
Total,    Central region,2021,6988.1
Total,    Central region,2020,7066.6
Total,    Central region,2019,7009.0
Total,    Central region,2018,6428.5
Total,    Central region,2017,6506.0
Total,    Central region,2016,6629.8
Total,    Central region,2015,6205.7
Total,    Central region,2014,5977.4
Total,    Central region,2013,5166.2
Total,    Central region,2012,4818.7
Total,    Central region,2011,4479.7
Total,    Central region,2010,4226.1
Total,    Central region,2009,5336.2
Total,    Central region,2008,4790.3
Total,    Central region,2007,3887.2
Total,    Central region,2006,3127.9
Total,    Central region,2005,2550.6
Total,    Central region,2004,2253.9
Total,    Central region,2003,2184.8
Total,    Central region,2002,2447.4
Total,    Central region,2001,2493.2
Total,    Central region,2000,2871.1
Total,    Central region,1999,3020.1
Total,    Central region,1998,2976.1
Total,    Central region,1997,2707.7
Total,    Central region,1996,2511.6
Total,    Central region,1995,2409.7
Total,    Central region,1994,2265.8
Total,    Central region,1993,2207.3
Total,    Central region,1992,2315.3
Total,    Central region,1991,2290.8
Total,    Central region,1990,2333.1
Total,    Central region,1989,2147.3
Total,    Central region,1988,1973.8
Total,    Central region,1987,1897.2
Total,    Central region,1986,1866.5
Total,    Central region,1985,1834.1
Total,    Central region,1984,1862.0
Total,    Central region,1983,1909.0
Total,    Central region,1982,1889.8
Total,    Central region,1981,1790.5
Total,    Central region,1980,1728.9
Total,    Central region,1979,1757.4
Total,    Central region,1978,1739.7
Total,    Central region,1977,1605.7
Total,    Central region,1976,1768.3
Total,    Central region,1975,1984.8
Total,    Central region,1974,1960.4
Total,    Central region,1973,1796.9
Total,    Central region,1972,1731.5
Total,    Central region,1971,1665.2
Total,    Central region,1970,1676.4
Total,            Darkhan-Uul,2024,252.3
Total,            Darkhan-Uul,2023,261.3
Total,            Darkhan-Uul,2022,313.2
Total,            Darkhan-Uul,2021,355.3
Total,            Darkhan-Uul,2020,360.6
Total,            Darkhan-Uul,2019,347.4
Total,            Darkhan-Uul,2018,306.0
Total,            Darkhan-Uul,2017,310.9
Total,            Darkhan-Uul,2016,324.2
Total,            Darkhan-Uul,2015,288.4
Total,            Darkhan-Uul,2014,324.2
Total,            Darkhan-Uul,2013,279.1
Total,            Darkhan-Uul,2012,268.4
Total,            Darkhan-Uul,2011,256.8
Total,            Darkhan-Uul,2010,249.8
Total,            Darkhan-Uul,2009,361.5
Total,            Darkhan-Uul,2008,345.3
Total,            Darkhan-Uul,2007,230.4
Total,            Darkhan-Uul,2006,180.2
Total,            Darkhan-Uul,2005,142.9
Total,            Darkhan-Uul,2004,125.1
Total,            Darkhan-Uul,2003,122.2
Total,            Darkhan-Uul,2002,166.0
Total,            Darkhan-Uul,2001,179.7
Total,            Darkhan-Uul,2000,194.5
Total,            Darkhan-Uul,1999,179.4
Total,            Darkhan-Uul,1998,168.2
Total,            Darkhan-Uul,1997,136.8
Total,            Darkhan-Uul,1996,137.1
Total,            Darkhan-Uul,1995,138.6
Total,            Darkhan-Uul,1994,139.5
Total,            Darkhan-Uul,1993,130.4
Total,            Darkhan-Uul,1992,145.5
Total,            Darkhan-Uul,1991,137.3
Total,            Darkhan-Uul,1990,109.3
Total,            Darkhan-Uul,1989,80.3
Total,            Darkhan-Uul,1988,68.1
Total,            Darkhan-Uul,1987,59.2
Total,            Darkhan-Uul,1986,61.9
Total,            Darkhan-Uul,1985,61.9
Total,            Darkhan-Uul,1984,61.7
Total,            Darkhan-Uul,1983,57.5
Total,            Darkhan-Uul,1982,50.0
Total,            Darkhan-Uul,1981,24.4
Total,            Darkhan-Uul,1980,22.1
Total,            Darkhan-Uul,1979,
Total,            Darkhan-Uul,1978,17.7
Total,            Darkhan-Uul,1977,15.7
Total,            Darkhan-Uul,1976,14.0
Total,            Darkhan-Uul,1975,13.1
Total,            Darkhan-Uul,1974,12.4
Total,            Darkhan-Uul,1973,6.0
Total,            Darkhan-Uul,1972,10.7
Total,            Darkhan-Uul,1971,8.4
Total,            Darkhan-Uul,1970,4.3
Total,            Selenge,2024,1602.5
Total,            Selenge,2023,1769.4
Total,            Selenge,2022,1912.3
Total,            Selenge,2021,1886.7
Total,            Selenge,2020,1818.5
Total,            Selenge,2019,1682.5
Total,            Selenge,2018,1540.0
Total,            Selenge,2017,1509.9
Total,            Selenge,2016,1599.8
Total,            Selenge,2015,1458.7
Total,            Selenge,2014,1471.7
Total,            Selenge,2013,1314.2
Total,            Selenge,2012,1305.6
Total,            Selenge,2011,1260.9
Total,            Selenge,2010,1265.6
Total,            Selenge,2009,1510.5
Total,            Selenge,2008,1442.1
Total,            Selenge,2007,1030.2
Total,            Selenge,2006,774.4
Total,            Selenge,2005,627.5
Total,            Selenge,2004,577.4
Total,            Selenge,2003,587.0
Total,            Selenge,2002,683.4
Total,            Selenge,2001,645.4
Total,            Selenge,2000,654.5
Total,            Selenge,1999,622.6
Total,            Selenge,1998,569.4
Total,            Selenge,1997,522.5
Total,            Selenge,1996,506.6
Total,            Selenge,1995,504.7
Total,            Selenge,1994,496.4
Total,            Selenge,1993,456.6
Total,            Selenge,1992,481.9
Total,            Selenge,1991,500.0
Total,            Selenge,1990,512.5
Total,            Selenge,1989,477.7
Total,            Selenge,1988,448.6
Total,            Selenge,1987,429.4
Total,            Selenge,1986,414.6
Total,            Selenge,1985,410.2
Total,            Selenge,1984,425.2
Total,            Selenge,1983,425.6
Total,            Selenge,1982,403.2
Total,            Selenge,1981,418.3
Total,            Selenge,1980,397.9
Total,            Selenge,1979,440.3
Total,            Selenge,1978,454.1
Total,            Selenge,1977,427.7
Total,            Selenge,1976,409.8
Total,            Selenge,1975,445.4
Total,            Selenge,1974,436.2
Total,            Selenge,1973,409.9
Total,            Selenge,1972,375.4
Total,            Selenge,1971,352.1
Total,            Selenge,1970,349.0
Total,            Tuv,2024,4150.1
Total,            Tuv,2023,4933.0
Total,            Tuv,2022,5107.7
Total,            Tuv,2021,4746.0
Total,            Tuv,2020,4887.5
Total,            Tuv,2019,4979.2
Total,            Tuv,2018,4582.4
Total,            Tuv,2017,4685.1
Total,            Tuv,2016,4705.9
Total,            Tuv,2015,4458.6
Total,            Tuv,2014,4181.5
Total,            Tuv,2013,3573.0
Total,            Tuv,2012,3244.7
Total,            Tuv,2011,2962.0
Total,            Tuv,2010,2710.7
Total,            Tuv,2009,3464.2
Total,            Tuv,2008,3003.0
Total,            Tuv,2007,2626.5
Total,            Tuv,2006,2173.2
Total,            Tuv,2005,1780.2
Total,            Tuv,2004,1551.4
Total,            Tuv,2003,1475.6
Total,            Tuv,2002,1598.0
Total,            Tuv,2001,1668.0
Total,            Tuv,2000,2022.1
Total,            Tuv,1999,2218.1
Total,            Tuv,1998,2238.6
Total,            Tuv,1997,2048.4
Total,            Tuv,1996,1867.9
Total,            Tuv,1995,1766.4
Total,            Tuv,1994,1629.9
Total,            Tuv,1993,1620.4
Total,            Tuv,1992,1687.9
Total,            Tuv,1991,1653.5
Total,            Tuv,1990,1711.4
Total,            Tuv,1989,1589.3
Total,            Tuv,1988,1457.2
Total,            Tuv,1987,1408.6
Total,            Tuv,1986,1390.1
Total,            Tuv,1985,1362.1
Total,            Tuv,1984,1375.1
Total,            Tuv,1983,1426.0
Total,            Tuv,1982,1436.6
Total,            Tuv,1981,1347.8
Total,            Tuv,1980,1309.0
Total,            Tuv,1979,1317.2
Total,            Tuv,1978,1267.8
Total,            Tuv,1977,1162.3
Total,            Tuv,1976,1344.5
Total,            Tuv,1975,1526.3
Total,            Tuv,1974,1511.7
Total,            Tuv,1973,1381.1
Total,            Tuv,1972,1345.4
Total,            Tuv,1971,1304.7
Total,            Tuv,1970,1323.2
Total,    Eastern region,2024,7853.1
Total,    Eastern region,2023,11412.2
Total,    Eastern region,2022,13063.7
Total,    Eastern region,2021,12209.0
Total,    Eastern region,2020,11311.2
Total,    Eastern region,2019,11315.0
Total,    Eastern region,2018,10739.5
Total,    Eastern region,2017,9995.5
Total,    Eastern region,2016,8656.9
Total,    Eastern region,2015,8176.9
Total,    Eastern region,2014,7480.5
Total,    Eastern region,2013,6586.9
Total,    Eastern region,2012,6098.2
Total,    Eastern region,2011,5610.3
Total,    Eastern region,2010,5273.8
Total,    Eastern region,2009,5491.5
Total,    Eastern region,2008,5155.7
Total,    Eastern region,2007,5199.7
Total,    Eastern region,2006,4642.1
Total,    Eastern region,2005,4191.4
Total,    Eastern region,2004,3973.2
Total,    Eastern region,2003,3918.2
Total,    Eastern region,2002,3720.0
Total,    Eastern region,2001,3579.9
Total,    Eastern region,2000,3790.0
Total,    Eastern region,1999,3724.6
Total,    Eastern region,1998,3412.6
Total,    Eastern region,1997,3044.3
Total,    Eastern region,1996,2785.5
Total,    Eastern region,1995,2707.9
Total,    Eastern region,1994,2841.2
Total,    Eastern region,1993,2543.0
Total,    Eastern region,1992,3253.5
Total,    Eastern region,1991,3305.1
Total,    Eastern region,1990,3440.0
Total,    Eastern region,1989,3343.7
Total,    Eastern region,1988,3153.8
Total,    Eastern region,1987,3066.7
Total,    Eastern region,1986,3150.9
Total,    Eastern region,1985,3200.2
Total,    Eastern region,1984,3245.0
Total,    Eastern region,1983,3302.2
Total,    Eastern region,1982,3592.6
Total,    Eastern region,1981,3708.8
Total,    Eastern region,1980,3450.7
Total,    Eastern region,1979,3708.4
Total,    Eastern region,1978,3603.9
Total,    Eastern region,1977,3373.5
Total,    Eastern region,1976,3421.7
Total,    Eastern region,1975,3572.5
Total,    Eastern region,1974,3538.0
Total,    Eastern region,1973,3392.1
Total,    Eastern region,1972,3273.6
Total,    Eastern region,1971,3247.6
Total,    Eastern region,1970,3309.7
Total,            Dornod,2024,2652.2
Total,            Dornod,2023,3151.7
Total,            Dornod,2022,3342.3
Total,            Dornod,2021,3051.1
Total,            Dornod,2020,2749.7
Total,            Dornod,2019,2629.6
Total,            Dornod,2018,2377.8
Total,            Dornod,2017,2057.8
Total,            Dornod,2016,1722.9
Total,            Dornod,2015,1555.4
Total,            Dornod,2014,1393.4
Total,            Dornod,2013,1220.1
Total,            Dornod,2012,1207.3
Total,            Dornod,2011,1149.8
Total,            Dornod,2010,1113.3
Total,            Dornod,2009,1450.7
Total,            Dornod,2008,1476.2
Total,            Dornod,2007,1307.3
Total,            Dornod,2006,1113.3
Total,            Dornod,2005,978.5
Total,            Dornod,2004,887.9
Total,            Dornod,2003,843.8
Total,            Dornod,2002,825.4
Total,            Dornod,2001,794.1
Total,            Dornod,2000,826.2
Total,            Dornod,1999,811.8
Total,            Dornod,1998,735.7
Total,            Dornod,1997,657.2
Total,            Dornod,1996,594.2
Total,            Dornod,1995,591.4
Total,            Dornod,1994,650.3
Total,            Dornod,1993,712.7
Total,            Dornod,1992,802.1
Total,            Dornod,1991,888.9
Total,            Dornod,1990,936.7
Total,            Dornod,1989,923.7
Total,            Dornod,1988,897.2
Total,            Dornod,1987,887.6
Total,            Dornod,1986,876.1
Total,            Dornod,1985,930.1
Total,            Dornod,1984,929.7
Total,            Dornod,1983,990.6
Total,            Dornod,1982,1102.9
Total,            Dornod,1981,1130.5
Total,            Dornod,1980,1036.9
Total,            Dornod,1979,1114.2
Total,            Dornod,1978,1091.9
Total,            Dornod,1977,1019.0
Total,            Dornod,1976,1028.2
Total,            Dornod,1975,1094.8
Total,            Dornod,1974,1072.7
Total,            Dornod,1973,1022.1
Total,            Dornod,1972,975.3
Total,            Dornod,1971,1015.2
Total,            Dornod,1970,992.1
Total,            Sukhbaatar,2024,2008.9
Total,            Sukhbaatar,2023,3859.5
Total,            Sukhbaatar,2022,4644.8
Total,            Sukhbaatar,2021,4202.9
Total,            Sukhbaatar,2020,3893.6
Total,            Sukhbaatar,2019,3817.0
Total,            Sukhbaatar,2018,3716.8
Total,            Sukhbaatar,2017,3528.4
Total,            Sukhbaatar,2016,3030.4
Total,            Sukhbaatar,2015,3070.3
Total,            Sukhbaatar,2014,2818.2
Total,            Sukhbaatar,2013,2491.4
Total,            Sukhbaatar,2012,2280.6
Total,            Sukhbaatar,2011,2081.4
Total,            Sukhbaatar,2010,1979.8
Total,            Sukhbaatar,2009,1789.7
Total,            Sukhbaatar,2008,1542.5
Total,            Sukhbaatar,2007,1709.2
Total,            Sukhbaatar,2006,1634.2
Total,            Sukhbaatar,2005,1523.1
Total,            Sukhbaatar,2004,1580.0
Total,            Sukhbaatar,2003,1622.7
Total,            Sukhbaatar,2002,1516.1
Total,            Sukhbaatar,2001,1429.1
Total,            Sukhbaatar,2000,1492.5
Total,            Sukhbaatar,1999,1450.6
Total,            Sukhbaatar,1998,1288.2
Total,            Sukhbaatar,1997,1133.1
Total,            Sukhbaatar,1996,1040.9
Total,            Sukhbaatar,1995,1015.6
Total,            Sukhbaatar,1994,1086.9
Total,            Sukhbaatar,1993,646.8
Total,            Sukhbaatar,1992,1098.7
Total,            Sukhbaatar,1991,1035.8
Total,            Sukhbaatar,1990,1004.7
Total,            Sukhbaatar,1989,996.8
Total,            Sukhbaatar,1988,959.3
Total,            Sukhbaatar,1987,916.6
Total,            Sukhbaatar,1986,1032.8
Total,            Sukhbaatar,1985,1028.1
Total,            Sukhbaatar,1984,1007.2
Total,            Sukhbaatar,1983,948.2
